# Simulation 1 (Up to date)
# 357 data points written for 12 variables.
#
# Tempo (s),Altitude (m),Número de Mach (​),Número de Reynolds (​),Coeficiente de arrasto (​),Coeficiente de arrasto axial (​),Coeficiente de arrasto de atrito (​),Coeficiente de arrasto de pressão (​),Coeficiente de arrasto de base (​),Coeficiente de força normal (​),Temperatura do ar (°C),Pressão do ar (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
5.751,484.596,0.168,1.537e6,0.507,0.507,0.178,0.205,0.124,2.355e-4,16.33,859.857
5.801,487.443,0.166,1.519e6,0.507,0.507,0.178,0.205,0.124,3.255e-4,16.308,859.565
5.851,490.258,0.164,1.501e6,0.507,0.507,0.179,0.205,0.124,3.322e-4,16.287,859.275
5.901,493.04,0.162,1.483e6,0.507,0.507,0.179,0.205,0.124,1.974e-4,16.266,858.99
5.951,495.789,0.16,1.466e6,0.508,0.508,0.179,0.205,0.124,2.209e-4,16.245,858.707
6.001,498.507,0.158,1.448e6,0.508,0.508,0.18,0.205,0.123,3.377e-4,16.224,858.428
6.051,501.192,0.157,1.431e6,0.508,0.508,0.18,0.204,0.123,4.296e-4,16.204,858.152
6.101,503.846,0.155,1.413e6,0.508,0.508,0.18,0.204,0.123,2.667e-4,16.184,857.88
6.151,506.468,0.153,1.396e6,0.508,0.508,0.181,0.204,0.123,1.187e-4,16.164,857.61
6.201,509.058,0.151,1.379e6,0.508,0.508,0.181,0.204,0.123,1.692e-4,16.144,857.344
6.251,511.617,0.149,1.362e6,0.508,0.508,0.182,0.204,0.123,4.588e-4,16.125,857.081
6.301,514.145,0.147,1.345e6,0.509,0.509,0.182,0.204,0.123,4.774e-4,16.106,856.822
6.351,516.642,0.146,1.328e6,0.509,0.509,0.182,0.203,0.123,3.996e-4,16.087,856.565
6.401,519.108,0.144,1.312e6,0.509,0.509,0.183,0.203,0.123,2.009e-4,16.068,856.312
6.451,521.544,0.142,1.295e6,0.509,0.509,0.183,0.203,0.123,7.692e-5,16.05,856.062
6.501,523.949,0.14,1.279e6,0.509,0.509,0.184,0.203,0.123,3.394e-4,16.031,855.815
6.551,526.324,0.138,1.262e6,0.51,0.51,0.184,0.203,0.123,4.92e-4,16.013,855.571
6.601,528.668,0.137,1.246e6,0.51,0.51,0.184,0.203,0.123,4.918e-4,15.996,855.33
6.651,530.982,0.135,1.23e6,0.51,0.51,0.185,0.203,0.123,4.058e-4,15.978,855.092
6.701,533.267,0.133,1.213e6,0.51,0.51,0.185,0.202,0.122,1.196e-4,15.961,854.858
6.751,535.521,0.131,1.197e6,0.51,0.51,0.186,0.202,0.122,1.36e-4,15.944,854.626
6.801,537.746,0.13,1.181e6,0.511,0.511,0.186,0.202,0.122,3.687e-4,15.927,854.398
6.851,539.942,0.128,1.165e6,0.511,0.511,0.187,0.202,0.122,5.069e-4,15.91,854.172
6.901,542.108,0.126,1.15e6,0.511,0.511,0.187,0.202,0.122,5.085e-4,15.894,853.95
6.951,544.245,0.125,1.134e6,0.511,0.511,0.187,0.202,0.122,4.569e-4,15.878,853.73
7.001,546.352,0.123,1.118e6,0.512,0.512,0.188,0.202,0.122,3.497e-4,15.862,853.514
7.051,548.431,0.121,1.102e6,0.512,0.512,0.188,0.201,0.122,2.549e-4,15.846,853.3
7.101,550.481,0.119,1.087e6,0.512,0.512,0.189,0.201,0.122,2.305e-4,15.831,853.089
7.151,552.502,0.118,1.071e6,0.512,0.512,0.189,0.201,0.122,3.336e-4,15.815,852.882
7.201,554.494,0.116,1.056e6,0.513,0.513,0.19,0.201,0.122,3.644e-4,15.8,852.677
